ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_worked_hours;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 35-39;2017;338.966;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 40-48;2017;1073.718;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 49+;2017;1840.221;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Not elsewhere classified;2017;133.712;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Total;2017;1378.224;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 1-14;2017;613.982;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 15-29;2017;453.099;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 30-34;2017;39.088;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 35-39;2017;78.958;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 40-48;2017;92.98;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 49+;2017;80.179;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Not elsewhere classified;2017;19.938;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Total;2022;11804.417;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: No hours actually worked;2022;168.045;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 1-14;2022;428.942;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 15-29;2022;1574.724;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 30-34;2022;926.066;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 35-39;2022;1188.283;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 40-48;2022;3135.831;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 49+;2022;4035.479;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Not elsewhere classified;2022;347.047;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Total;2022;5783.324;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: No hours actually worked;2022;72.578;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 1-14;2022;219.589;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 15-29;2022;733.247;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 30-34;2022;423.746;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 35-39;2022;524.387;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 40-48;2022;1526.037;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 49+;2022;2145.291;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Not elsewhere classified;2022;138.449;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Total;2022;6021.092;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: No hours actually worked;2022;95.468;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 1-14;2022;209.353;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 15-29;2022;841.477;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 30-34;2022;502.32;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 35-39;2022;663.895;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 40-48;2022;1609.794;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 49+;2022;1890.188;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Not elsewhere classified;2022;208.597;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Total;2021;11127.817;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: No hours actually worked;2021;416.683;;;;Repository: ILO-STATISTICS - Micro data processing
