ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_informal;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Not classified;2022;100;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Total;2022;92.205;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Agriculture;2022;99.752;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Manufacturing;2022;85.596;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Construction;2022;87.886;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply";2022;70.345;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2022;87.197;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2022;75.705;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Not classified;2022;100;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Total;2022;88.839;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Agriculture;2022;99.585;;;;Repository: ILO-STATISTICS - Micro data processing
