ref_area.label;source.label;indicator.label;sex.label;time;obs_value_NEET;obs_status.label;note_indicator.label;note_source.label
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2019;9.373;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2019;9.349;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2018;9.419;Break in series;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2018;8.725;Break in series;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2018;10.146;Break in series;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2017;8.96;;;Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2017;8.91;;;Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2017;8.98;;;Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2016;8.69;;;Data reference period: May | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2016;8.42;;;Data reference period: May | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2016;9.06;;;Data reference period: May | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2015;9.8;;;Data reference period: May | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2015;9.45;;;Data reference period: May | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2015;10.2;;;Data reference period: May | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2023;13.118;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2023;15.189;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2023;10.912;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2022;12.155;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2022;14.061;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2022;10.136;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2021;12.257;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2021;14.073;;;Repository: ILO-STATISTICS - Micro data processing
